*,/,%,(,),=,i,#,L,E,T,F
 , , , , , ,s1, , , , , 
 , , , , ,s2, , , , , , 
 , , ,s6, , ,s7, , ,3,4,5
s8, , , , , , ,acc, , , , 
r2,s9,s10, ,r2, , ,r2, , , , 
r5,r5,r5, ,r5, , ,r5, , , , 
 , , ,s6, , ,s7, , ,11,4,5
r7,r7,r7, ,r7, , ,r7, , , , 
 , , ,s6, , ,s7, , , ,12,5
 , , ,s6, , ,s7, , , , ,13
 , , ,s6, , ,s7, , , , ,14
s8, , , ,s15, , , , , , , 
r1,s9,s10, ,r1, , ,r1, , , , 
r3,r3,r3, ,r3, , ,r3, , , , 
r4,r4,r4, ,r4, , ,r4, , , , 
r6,r6,r6, ,r6, , ,r6, , , , 
